Sample File	C:\Users\ARG\Desktop\Kevin\20230222_LD2.txt
Model	3775

Sample #	Start Date	Start Time	Sample Length	Averaging Interval (s)	Title	Instrument ID	Instrument Errors	Conc Mean	Conc Min	Conc Max	Conc Std Dev	[1.0]  Conc (#/cm3)	[1.0]  Count (#)	[2.0]  Conc (#/cm3)	[2.0]  Count (#)	[3.0]  Conc (#/cm3)	[3.0]  Count (#)	[4.0]  Conc (#/cm3)	[4.0]  Count (#)	[5.0]  Conc (#/cm3)	[5.0]  Count (#)	[6.0]  Conc (#/cm3)	[6.0]  Count (#)	[7.0]  Conc (#/cm3)	[7.0]  Count (#)	[8.0]  Conc (#/cm3)	[8.0]  Count (#)	[9.0]  Conc (#/cm3)	[9.0]  Count (#)	[10.0]  Conc (#/cm3)	[10.0]  Count (#)	[11.0]  Conc (#/cm3)	[11.0]  Count (#)	[12.0]  Conc (#/cm3)	[12.0]  Count (#)	[13.0]  Conc (#/cm3)	[13.0]  Count (#)	[14.0]  Conc (#/cm3)	[14.0]  Count (#)	[15.0]  Conc (#/cm3)	[15.0]  Count (#)	[16.0]  Conc (#/cm3)	[16.0]  Count (#)	[17.0]  Conc (#/cm3)	[17.0]  Count (#)	[18.0]  Conc (#/cm3)	[18.0]  Count (#)	[19.0]  Conc (#/cm3)	[19.0]  Count (#)	[20.0]  Conc (#/cm3)	[20.0]  Count (#)	[21.0]  Conc (#/cm3)	[21.0]  Count (#)	[22.0]  Conc (#/cm3)	[22.0]  Count (#)	[23.0]  Conc (#/cm3)	[23.0]  Count (#)	[24.0]  Conc (#/cm3)	[24.0]  Count (#)	[25.0]  Conc (#/cm3)	[25.0]  Count (#)	[26.0]  Conc (#/cm3)	[26.0]  Count (#)	[27.0]  Conc (#/cm3)	[27.0]  Count (#)	[28.0]  Conc (#/cm3)	[28.0]  Count (#)	[29.0]  Conc (#/cm3)	[29.0]  Count (#)	[30.0]  Conc (#/cm3)	[30.0]  Count (#)	[31.0]  Conc (#/cm3)	[31.0]  Count (#)	[32.0]  Conc (#/cm3)	[32.0]  Count (#)	[33.0]  Conc (#/cm3)	[33.0]  Count (#)	[34.0]  Conc (#/cm3)	[34.0]  Count (#)	[35.0]  Conc (#/cm3)	[35.0]  Count (#)	[36.0]  Conc (#/cm3)	[36.0]  Count (#)	[37.0]  Conc (#/cm3)	[37.0]  Count (#)	[38.0]  Conc (#/cm3)	[38.0]  Count (#)	[39.0]  Conc (#/cm3)	[39.0]  Count (#)	[40.0]  Conc (#/cm3)	[40.0]  Count (#)	[41.0]  Conc (#/cm3)	[41.0]  Count (#)	[42.0]  Conc (#/cm3)	[42.0]  Count (#)	[43.0]  Conc (#/cm3)	[43.0]  Count (#)	[44.0]  Conc (#/cm3)	[44.0]  Count (#)	[45.0]  Conc (#/cm3)	[45.0]  Count (#)	[46.0]  Conc (#/cm3)	[46.0]  Count (#)	[47.0]  Conc (#/cm3)	[47.0]  Count (#)	[48.0]  Conc (#/cm3)	[48.0]  Count (#)	[49.0]  Conc (#/cm3)	[49.0]  Count (#)	[50.0]  Conc (#/cm3)	[50.0]  Count (#)	[51.0]  Conc (#/cm3)	[51.0]  Count (#)	[52.0]  Conc (#/cm3)	[52.0]  Count (#)	[53.0]  Conc (#/cm3)	[53.0]  Count (#)	[54.0]  Conc (#/cm3)	[54.0]  Count (#)	[55.0]  Conc (#/cm3)	[55.0]  Count (#)	[56.0]  Conc (#/cm3)	[56.0]  Count (#)	[57.0]  Conc (#/cm3)	[57.0]  Count (#)	[58.0]  Conc (#/cm3)	[58.0]  Count (#)	[59.0]  Conc (#/cm3)	[59.0]  Count (#)	[60.0]  Conc (#/cm3)	[60.0]  Count (#)	[61.0]  Conc (#/cm3)	[61.0]  Count (#)	[62.0]  Conc (#/cm3)	[62.0]  Count (#)	[63.0]  Conc (#/cm3)	[63.0]  Count (#)	[64.0]  Conc (#/cm3)	[64.0]  Count (#)	[65.0]  Conc (#/cm3)	[65.0]  Count (#)	[66.0]  Conc (#/cm3)	[66.0]  Count (#)	[67.0]  Conc (#/cm3)	[67.0]  Count (#)	[68.0]  Conc (#/cm3)	[68.0]  Count (#)	[69.0]  Conc (#/cm3)	[69.0]  Count (#)	[70.0]  Conc (#/cm3)	[70.0]  Count (#)	[71.0]  Conc (#/cm3)	[71.0]  Count (#)	[72.0]  Conc (#/cm3)	[72.0]  Count (#)	[73.0]  Conc (#/cm3)	[73.0]  Count (#)	[74.0]  Conc (#/cm3)	[74.0]  Count (#)	[75.0]  Conc (#/cm3)	[75.0]  Count (#)	[76.0]  Conc (#/cm3)	[76.0]  Count (#)	[77.0]  Conc (#/cm3)	[77.0]  Count (#)	[78.0]  Conc (#/cm3)	[78.0]  Count (#)	[79.0]  Conc (#/cm3)	[79.0]  Count (#)	[80.0]  Conc (#/cm3)	[80.0]  Count (#)	[81.0]  Conc (#/cm3)	[81.0]  Count (#)	[82.0]  Conc (#/cm3)	[82.0]  Count (#)	[83.0]  Conc (#/cm3)	[83.0]  Count (#)	[84.0]  Conc (#/cm3)	[84.0]  Count (#)	[85.0]  Conc (#/cm3)	[85.0]  Count (#)	[86.0]  Conc (#/cm3)	[86.0]  Count (#)	[87.0]  Conc (#/cm3)	[87.0]  Count (#)	[88.0]  Conc (#/cm3)	[88.0]  Count (#)	[89.0]  Conc (#/cm3)	[89.0]  Count (#)	[90.0]  Conc (#/cm3)	[90.0]  Count (#)	[91.0]  Conc (#/cm3)	[91.0]  Count (#)	[92.0]  Conc (#/cm3)	[92.0]  Count (#)	[93.0]  Conc (#/cm3)	[93.0]  Count (#)	[94.0]  Conc (#/cm3)	[94.0]  Count (#)	[95.0]  Conc (#/cm3)	[95.0]  Count (#)	[96.0]  Conc (#/cm3)	[96.0]  Count (#)	[97.0]  Conc (#/cm3)	[97.0]  Count (#)	[98.0]  Conc (#/cm3)	[98.0]  Count (#)	[99.0]  Conc (#/cm3)	[99.0]  Count (#)	[100.0]  Conc (#/cm3)	[100.0]  Count (#)	[101.0]  Conc (#/cm3)	[101.0]  Count (#)	[102.0]  Conc (#/cm3)	[102.0]  Count (#)	[103.0]  Conc (#/cm3)	[103.0]  Count (#)	[104.0]  Conc (#/cm3)	[104.0]  Count (#)	[105.0]  Conc (#/cm3)	[105.0]  Count (#)	[106.0]  Conc (#/cm3)	[106.0]  Count (#)	[107.0]  Conc (#/cm3)	[107.0]  Count (#)	[108.0]  Conc (#/cm3)	[108.0]  Count (#)	[109.0]  Conc (#/cm3)	[109.0]  Count (#)	[110.0]  Conc (#/cm3)	[110.0]  Count (#)	[111.0]  Conc (#/cm3)	[111.0]  Count (#)	[112.0]  Conc (#/cm3)	[112.0]  Count (#)	[113.0]  Conc (#/cm3)	[113.0]  Count (#)	[114.0]  Conc (#/cm3)	[114.0]  Count (#)	[115.0]  Conc (#/cm3)	[115.0]  Count (#)	[116.0]  Conc (#/cm3)	[116.0]  Count (#)	[117.0]  Conc (#/cm3)	[117.0]  Count (#)	[118.0]  Conc (#/cm3)	[118.0]  Count (#)	[119.0]  Conc (#/cm3)	[119.0]  Count (#)	[120.0]  Conc (#/cm3)	[120.0]  Count (#)	[121.0]  Conc (#/cm3)	[121.0]  Count (#)	[122.0]  Conc (#/cm3)	[122.0]  Count (#)	[123.0]  Conc (#/cm3)	[123.0]  Count (#)	[124.0]  Conc (#/cm3)	[124.0]  Count (#)	[125.0]  Conc (#/cm3)	[125.0]  Count (#)	[126.0]  Conc (#/cm3)	[126.0]  Count (#)	[127.0]  Conc (#/cm3)	[127.0]  Count (#)	[128.0]  Conc (#/cm3)	[128.0]  Count (#)	[129.0]  Conc (#/cm3)	[129.0]  Count (#)	[130.0]  Conc (#/cm3)	[130.0]  Count (#)	[131.0]  Conc (#/cm3)	[131.0]  Count (#)	[132.0]  Conc (#/cm3)	[132.0]  Count (#)	[133.0]  Conc (#/cm3)	[133.0]  Count (#)	[134.0]  Conc (#/cm3)	[134.0]  Count (#)	[135.0]  Conc (#/cm3)	[135.0]  Count (#)	[136.0]  Conc (#/cm3)	[136.0]  Count (#)	[137.0]  Conc (#/cm3)	[137.0]  Count (#)	[138.0]  Conc (#/cm3)	[138.0]  Count (#)	[139.0]  Conc (#/cm3)	[139.0]  Count (#)	[140.0]  Conc (#/cm3)	[140.0]  Count (#)	[141.0]  Conc (#/cm3)	[141.0]  Count (#)	[142.0]  Conc (#/cm3)	[142.0]  Count (#)	[143.0]  Conc (#/cm3)	[143.0]  Count (#)	[144.0]  Conc (#/cm3)	[144.0]  Count (#)	[145.0]  Conc (#/cm3)	[145.0]  Count (#)	[146.0]  Conc (#/cm3)	[146.0]  Count (#)	[147.0]  Conc (#/cm3)	[147.0]  Count (#)	[148.0]  Conc (#/cm3)	[148.0]  Count (#)	[149.0]  Conc (#/cm3)	[149.0]  Count (#)	[150.0]  Conc (#/cm3)	[150.0]  Count (#)	[151.0]  Conc (#/cm3)	[151.0]  Count (#)	[152.0]  Conc (#/cm3)	[152.0]  Count (#)	[153.0]  Conc (#/cm3)	[153.0]  Count (#)	[154.0]  Conc (#/cm3)	[154.0]  Count (#)	[155.0]  Conc (#/cm3)	[155.0]  Count (#)	[156.0]  Conc (#/cm3)	[156.0]  Count (#)	[157.0]  Conc (#/cm3)	[157.0]  Count (#)	[158.0]  Conc (#/cm3)	[158.0]  Count (#)	[159.0]  Conc (#/cm3)	[159.0]  Count (#)	[160.0]  Conc (#/cm3)	[160.0]  Count (#)	[161.0]  Conc (#/cm3)	[161.0]  Count (#)	[162.0]  Conc (#/cm3)	[162.0]  Count (#)	[163.0]  Conc (#/cm3)	[163.0]  Count (#)	[164.0]  Conc (#/cm3)	[164.0]  Count (#)	[165.0]  Conc (#/cm3)	[165.0]  Count (#)	[166.0]  Conc (#/cm3)	[166.0]  Count (#)	[167.0]  Conc (#/cm3)	[167.0]  Count (#)	[168.0]  Conc (#/cm3)	[168.0]  Count (#)	[169.0]  Conc (#/cm3)	[169.0]  Count (#)	[170.0]  Conc (#/cm3)	[170.0]  Count (#)	[171.0]  Conc (#/cm3)	[171.0]  Count (#)	[172.0]  Conc (#/cm3)	[172.0]  Count (#)	[173.0]  Conc (#/cm3)	[173.0]  Count (#)	[174.0]  Conc (#/cm3)	[174.0]  Count (#)	[175.0]  Conc (#/cm3)	[175.0]  Count (#)	[176.0]  Conc (#/cm3)	[176.0]  Count (#)	[177.0]  Conc (#/cm3)	[177.0]  Count (#)	[178.0]  Conc (#/cm3)	[178.0]  Count (#)	[179.0]  Conc (#/cm3)	[179.0]  Count (#)	[180.0]  Conc (#/cm3)	[180.0]  Count (#)	[181.0]  Conc (#/cm3)	[181.0]  Count (#)	[182.0]  Conc (#/cm3)	[182.0]  Count (#)	[183.0]  Conc (#/cm3)	[183.0]  Count (#)	[184.0]  Conc (#/cm3)	[184.0]  Count (#)	[185.0]  Conc (#/cm3)	[185.0]  Count (#)	[186.0]  Conc (#/cm3)	[186.0]  Count (#)	[187.0]  Conc (#/cm3)	[187.0]  Count (#)	[188.0]  Conc (#/cm3)	[188.0]  Count (#)	[189.0]  Conc (#/cm3)	[189.0]  Count (#)	[190.0]  Conc (#/cm3)	[190.0]  Count (#)	[191.0]  Conc (#/cm3)	[191.0]  Count (#)	[192.0]  Conc (#/cm3)	[192.0]  Count (#)	[193.0]  Conc (#/cm3)	[193.0]  Count (#)	[194.0]  Conc (#/cm3)	[194.0]  Count (#)	[195.0]  Conc (#/cm3)	[195.0]  Count (#)	[196.0]  Conc (#/cm3)	[196.0]  Count (#)	[197.0]  Conc (#/cm3)	[197.0]  Count (#)	
1	02/22/23	16:23:12	197	1		3775  3775122802 2.12	None	5725.08	0	106530	20432.6	0	0	0	0	0.394	2	0	0	0	0	0	0	0	0	0	0	0	0	18135.2	90738	63130	315698	74790	374035	85560	427464	83940	419658	79620	398186	98530	492485	101000	505325	78890	394473	106530	532444	97100	485088	76360	381806	55660	278339	35920	179620	22930	114762	15120	75576	10224	51129	7086	35432	4999	24994	3586	17936	2538	12688	1832	9156	1296	6473	896.2	4484	644.7	3225	441.3	2204	307.3	1537	205.8	1029	143.76	719	94.62	471	75.98	378	54.53	273	38.18	194	25.963	132	21.84	111	15.925	81	13.564	69	8.853	45	5.312	27	3.933	20	5.312	27	4.52	23	3.935	20	3.345	17	3.541	18	2.754	14	4.721	24	1.967	10	3.737	19	2.557	13	0.984	5	1.379	7	1.574	8	0.591	3	2.556	13	0.788	4	0.985	5	1.574	8	1.377	7	1.181	6	0.984	5	0.394	2	0.197	1	0.394	2	0.394	2	0.393	2	0.197	1	0.787	4	0.197	1	0.591	3	0	0	0	0	0.394	2	0.787	4	0.197	1	0	0	0.394	2	0.197	1	0.197	1	0.197	1	0.787	4	0.394	2	0	0	0.394	2	0	0	0	0	0.197	1	0	0	0	0	0.197	1	0.197	1	0.197	1	0.197	1	0.197	1	0.197	1	0	0	0.197	1	0.197	1	0.197	1	0.197	1	0	0	0.197	1	0	0	0	0	0.197	1	0	0	0.393	2	0	0	0.197	1	0.197	1	0.197	1	0.591	3	0.197	1	0.197	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.197	1	0.197	1	0.394	2	0	0	0	0	0	0	0.197	1	0	0	0.394	2	0	0	0.197	1	0	0	0	0	0	0	0.197	1	0	0	0	0	0	0	0	0	0	0	0	0	0.197	1	0	0	0.197	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.197	1	0	0	0.197	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.197	1	0	0	0	0	0	0	0	0	0	0	0.197	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.197	1	0	0	
2	02/22/23	16:26:37	197	1		3775  3775122802 2.12	None	3804.41	0	38000	7293.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.197	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.197	1	0	0	0	0	0.197	1	0	0	0	0	0	0	0	0	0	0	0	0	524.68	2624	19070	95368	16020	80053	9296	46492	5510	27548	3215	16073	1989	9946	1270	6346	855.4	4282	571.1	2856	1317.4	6589	23460	117328	20790	103978	12032	60219	7159	35784	4138	20695	2617	13078	1764	8817	1194	5971	824.5	4127	1318.3	6590	13813	69076	10615	53084	5310	26546	3346	16737	1978	9892	1278	6385	848.1	4247	562.4	2812	395.3	1979	718.7	3595	16597	82970	15850	79294	10624	53112	5857	29285	3776	18874	2330	11653	1460	7297	974.6	4881	692.6	3466	709.2	3543	16225	81169	21360	106722	9542	47747	5124	25626	3047	15237	2014	10065	1267	6333	850.4	4255	594.3	2972	1146.1	5728	28410	142045	17460	87171	10098	50519	5384	26920	3527	17633	2192	10967	1370	6849	954.8	4779	677.4	3390	1010.4	5049	29916	149548	27510	137598	15650	78206	9434	47128	5501	27505	3504	17519	2270	11351	1528	7639	1064	5324	1169.1	5849	30990	154992	38000	189782	18580	92960	10337	51665	6218	31092	3861	19317	2485	12418	1646	8228	1167	5830	1273.1	6368	26260	131321	21590	107984	12470	62309	7391	36950	4278	21393	2663	13310	1784	8927	1201.7	6008	851.6	4263	682.9	3414	23137	115716	31000	154997	14810	74053	9012	45072	5157	25775	3245	16223	2112	10561	1431	7162	986.4	4934	672.2	3364	507.1	2535	349.2	1747	242.9	1211	180.6	905	122.1	610	85.4	424	57.28	289	38.58	196	29.31	149	27.54	140	16.324	83	10.425	53	5.509	28	5.31	27	4.13	21	3.538	18	2.755	14	1.769	9	3.145	16	1.378	7	1.773	9	1.771	9	0.394	2	0.788	4	0.591	3	0.787	4	0	0	0.786	4	0.197	1	0.787	4	0.59	3	0.591	3	0.197	1	0.787	4	0	0	0.394	2	0.591	3	0	0	0.197	1	0.197	1	0	0	0.197	1	0	0	0.197	1	0.197	1	0	0	0	0	0	0	0	0	0.197	1	
3	02/22/23	16:30:35	197	1		3775  3775122802 2.12	None	22143.2	0	77480	22817.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.197	1	0	0	0	0	3459.06	17272	43290	216380	49580	247810	45780	228956	66590	332986	66780	333990	58980	294861	70870	354295	73840	369277	68600	343013	69530	347710	70130	350687	71350	356591	68450	342316	64670	323443	48420	242106	66930	334683	77480	387407	65980	329921	49890	249465	48550	242756	51780	258719	47030	235194	42080	210394	42420	212122	40620	203119	43950	219743	45270	226313	44850	224244	46270	231411	41680	208455	54290	271431	67040	335148	55910	279584	45090	225484	39210	196009	33290	166415	32020	160070	32130	160690	31930	159637	33990	169962	43180	215656	38620	193064	37650	188303	38370	191931	42950	214765	40050	200223	54420	272075	44360	221833	37600	187973	46740	233696	39700	198470	33540	167715	28970	144863	26530	132692	27710	138622	27990	140005	28490	142436	30650	153187	30820	154088	35060	175265	32090	160426	49120	245554	43510	217493	36360	181844	35340	176671	34520	172641	33710	168566	32030	160186	33290	166472	30440	152245	36480	182416	32300	161496	34060	170324	31860	159305	37510	187479	42570	212998	44330	221734	54120	270623	41840	209136	33580	167820	26950	134791	27880	139434	33660	168210	34630	173139	32060	160277	32430	162210	31740	158732	33450	167293	33350	166761	31450	157200	29970	149826	28430	142213	45760	228775	39600	198041	31090	155387	27420	137027	27630	138089	28200	140967	30690	153425	27400	137003	29780	148871	30270	151449	23730	118720	13730	68719	8894	44462	5668	28332	3895	19478	2730	13655	1889	9448	1410	7049	1036.1	5184	747.6	3741	560.1	2800	391.4	1957	303.1	1516	235.4	1177	165.4	830	116.86	584	89.93	447	62.99	315	52.38	262	41.33	209	30.12	153	24.794	126	19.274	98	14.358	73	12.001	61	11.801	60	9.839	50	8.263	42	7.667	39	5.511	28	3.344	17	2.362	12	2.359	12	3.737	19	1.968	10	2.164	11	1.968	10	1.574	8	1.574	8	0.394	2	0.591	3	0.197	1	0.394	2	0.591	3	0.394	2	0.394	2	1.181	6	0.197	1	0.788	4	0.393	2	0.197	1	0	0	0.197	1	0	0	0.394	2	0	0	0.197	1	0	0	0	0	0.197	1	0	0	0.591	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.197	1	
4	02/22/23	16:36:08	197	1		3775  3775122802 2.12	None	2030.27	0	36530	4750.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.197	1	0	0	0.197	1	0	0	0	0	6235.19	31164	36530	182575	28210	140997	16450	82276	8166	40815	4528	22645	2912	14555	1782	8907	1110.9	5555	734.8	3678	1895.3	9482	25540	127618	22920	114644	13170	65847	7881	39430	4374	21867	2688	13447	1683	8420	1087	5442	746.6	3737	1669.8	8348	10874	54408	9448	47226	5246	26235	3394	16972	2004	10022	1234.1	6164	783.8	3923	510.9	2554	366.5	1834	900.9	4507	6923	34615	5044	25230	2830	14152	1614	8069	990.9	4957	679.5	3400	415.9	2081	293.3	1467	188.9	946	370.4	1852	5509	27542	4434	22168	3187	15941	1938	9690	1141.9	5715	721.4	3610	448	2241	302.2	1512	208.8	1043	434.1	2171	3757	18790	3360	16801	2049	10251	1168.7	5848	691.8	3462	444	2220	282.7	1412	196.3	982	135.5	678	180.12	899	5884	29413	5695	28472	3725	18623	2172	10860	1248.3	6241	767.5	3842	524.9	2623	348.5	1743	235.1	1173	402.3	2012	11136	55748	11420	57124	7837	39171	4242	21219	2445	12228	1581	7903	1010	5054	712.2	3565	488	2439	407.3	2039	8563	42838	8970	44822	5383	26915	3024	15113	1720	8601	1109.5	5551	765.4	3832	497.4	2486	344.8	1724	259.6	1298	7979	39907	9472	47421	5258	26291	3337	16683	2034	10168	1245.7	6230	816.4	4085	536.8	2683	372.5	1863	252.7	1261	198.8	994	142.8	714	103.99	519	82.07	408	55.7	281	32.86	167	26.76	136	18.11	92	15.541	79	11.802	60	7.476	38	5.115	26	3.934	20	3.146	16	2.753	14	0.591	3	1.378	7	1.18	6	0.985	5	0.591	3	1.182	6	0.394	2	0	0	0.984	5	0.197	1	0.197	1	0.394	2	0.394	2	0	0	0.591	3	0	0	0.197	1	0.394	2	0.394	2	0.394	2	0.197	1	0.59	3	0.197	1	0.197	1	0.197	1	0	0	0.197	1	0.394	2	0	0	0.197	1	0.197	1	0	0	0.197	1	0.394	2	0	0	0.197	1	0.197	1	0	0	0.197	1	0	0	0	0	0	0	0	0	0	0	0	0	0.197	1	0.197	1	0.197	1	0	0	0	0	
5	02/22/23	16:40:06	197	1		3775  3775122802 2.12	None	944.399	0	19880	2194.58	0	0	0	0	0	0	0.394	2	0	0	0.197	1	0	0	0	0	0	0	0	0	0	0	1789.32	8954	2284	11417	1360	6797	774.8	3875	452.7	2262	309	1547	189.2	947	120.98	604	93.87	467	63.39	315	2988.5	14945	5335	26667	3681	18408	2300	11506	1330	6652	805.3	4031	519.3	2596	323.4	1617	218.1	1090	158.9	795	4925.9	24625	5372	26858	3123	15612	1749	8750	1055.9	5283	667	3338	425.4	2127	291.7	1458	202.3	1011	139.8	700	3107.4	15532	6555	32774	3800	19000	2438	12189	1492	7462	907.7	4542	573.3	2868	378.6	1893	249.6	1246	173.1	866	11791.9	58951	19880	99396	12270	61392	6921	34609	3866	19330	2357	11783	1558	7787	1032.9	5167	674.6	3376	468.3	2340	2434.2	12177	4122	20609	3496	17481	2078	10393	1209.9	6052	727.8	3642	484.2	2421	297	1486	209	1045	145.5	728	2326.4	11639	4254	21274	2765	13830	1568	7844	911.5	4563	582	2910	376.3	1884	240.2	1200	167.6	839	120	600	1455.2	7273	3379	16883	2168	10836	1321	6610	853.7	4271	506.1	2530	326.2	1632	218.5	1092	137.1	686	94.25	469	1130.09	5653	2895	14473	1891	9457	1266.5	6334	708.6	3546	430.5	2152	267.8	1337	168.8	847	117.78	588	85.54	426	2490.44	12453	4202	21007	3170	15845	1752	8764	1003.2	5019	636.6	3185	387.9	1940	260.2	1301	181.9	912	126.4	632	88.39	439	64.58	323	50.59	257	39.75	202	29.3	149	19.084	97	16.724	85	10.235	52	7.085	36	5.509	28	4.917	25	2.949	15	1.967	10	2.558	13	0.591	3	1.771	9	1.575	8	0	0	0.591	3	0.197	1	1.378	7	0.197	1	0.394	2	0.788	4	0.197	1	0.394	2	0.394	2	0.197	1	0	0	0.393	2	0.197	1	0.197	1	0	0	0.394	2	0	0	0.197	1	0.197	1	0.197	1	0.197	1	0	0	0.197	1	0.394	2	0	0	0	0	0.197	1	0	0	0	0	0.197	1	0	0	0	0	0.197	1	0.197	1	0	0	0	0	0.197	1	0	0	0	0	0	0	0.197	1	0	0	0.197	1	0	0	0	0	0.197	1	0	0	0	0	0	0	0	0	0.197	1	0	0	0	0	0	0	0	0	0	0	0.197	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.197	1	
6	02/22/23	16:43:28	197	1		3775  3775122802 2.12	None	1651.62	0	14150	2325.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.197	1	0.197	1	0	0	0	0	0	0	0	0	0	0	0	0	0.394	2	3722.77	18616	3389	16941	1851	9256	1051.4	5266	629.1	3147	2392.8	11962	3881	19413	2393	11963	1406	7039	819	4099	3202.7	16012	5655	28276	2934	14669	1691	8459	1095.3	5479	11289	56419	10574	52898	6082	30423	3226	16132	1891	9460	4101	20503	4965	24831	3148	15749	2048	10239	1225.9	6137	4191.7	20963	4258	21290	2904	14512	1669	8355	984	4927	5726.5	28645	14150	70836	9013	45087	5515	27574	2917	14584	2429	12143	3642	18211	2498	12490	1441	7205	902.6	4516	6500	32474	10691	53438	5884	29423	3201	16001	1844	9225	2068	10337	3750	18744	2921	14600	1672	8363	998.8	4992	3224.9	16123	3937	19687	2363	11822	1293.8	6465	799	3998	2160.1	10805	6306	31530	4159	20790	2381	11908	1417	7090	2814.8	14076	4995	24982	2961	14803	1697	8485	1029.3	5152	2213.6	11071	5483	27414	3296	16479	2120	10601	1278.9	6392	3703.7	18518	6184	30930	4136	20678	2332	11662	1350	6747	2664.6	13327	5205	26022	3547	17743	2052	10252	1174.6	5879	1881.5	9411	4198	20992	3115	15576	1799	8999	1062.1	5314	1335.2	6680	3395	16964	3084	15426	1753	8759	1037.2	5189	3723.1	18623	4798	23990	2569	12855	1424	7118	883	4417	1214.2	6072	4181	20910	3492	17457	2099	10494	1243.3	6221	738.4	3696	475.3	2375	323	1615	215.2	1077	163.8	821	109.73	548	87.16	433	66.94	334	43.11	219	35.43	180	23.404	119	12.987	66	17.515	89	8.459	43	8.652	44	7.277	37	7.672	39	3.343	17	2.756	14	2.95	15	2.164	11	1.77	9	0.984	5	1.574	8	0.591	3	0.394	2	0.591	3	0.983	5	0.394	2	0.591	3	0.394	2	1.181	6	0.394	2	0.197	1	0.197	1	0	0	0	0	0.197	1	0.197	1	0.59	3	0.591	3	0	0	0.197	1	0.394	2	0.394	2	0.197	1	0.197	1	0.197	1	0	0	0	0	0	0	0	0	0.197	1	0	0	0.197	1	0	0	0	0	0.197	1	0.197	1	0	0	0	0	0	0	0.393	2	0.197	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.197	1	0.197	1	0	0	0	0	0	0	0	0	0	0	
